start,open,high,low,close,volume
1766966400000,1.1727,1.1736,1.1713,1.1715,2124.0
1766967300000,1.1715,1.1744,1.1708,1.1734,642.0
1766968200000,1.1734,1.1809,1.1734,1.1801,2705.0
1766969100000,1.1801,1.1818,1.1787,1.179,1162.0
1766970000000,1.179,1.1795,1.1768,1.1778,1298.0
1766970900000,1.1778,1.1844,1.1765,1.1823,6717.0
1766971800000,1.1823,1.1901,1.1821,1.1891,4797.0
1766972700000,1.1891,1.1957,1.1886,1.1957,3980.0
1766973600000,1.1957,1.212,1.1957,1.2083,13652.0
1766974500000,1.2083,1.2083,1.2002,1.2019,3812.0
1766975400000,1.2019,1.2024,1.1975,1.1988,8022.0
1766976300000,1.1988,1.2007,1.197,1.1971,2096.0
1766977200000,1.1971,1.2014,1.1968,1.1997,1462.0
1766978100000,1.1997,1.2006,1.1975,1.1975,4257.0
1766979000000,1.1975,1.207,1.1975,1.2029,6029.0
1766979900000,1.2029,1.2051,1.2019,1.2047,1074.0
1766980800000,1.2047,1.2058,1.2017,1.203,1236.0
1766981700000,1.203,1.2053,1.203,1.2034,3194.0
1766982600000,1.2034,1.2042,1.1995,1.1995,2239.0
1766983500000,1.1995,1.2029,1.1978,1.1984,5615.0
1766984400000,1.1984,1.2079,1.1953,1.2076,8462.0
1766985300000,1.2076,1.2076,1.2041,1.205,2081.0
1766986200000,1.205,1.2155,1.2049,1.2142,9618.0
1766987100000,1.2142,1.2158,1.2093,1.21,4677.0
1766988000000,1.21,1.2101,1.2042,1.2063,4405.0
1766988900000,1.2063,1.2077,1.2032,1.2032,10549.0
1766989800000,1.2032,1.2045,1.2006,1.2007,2699.0
1766990700000,1.2007,1.201,1.1976,1.2,8135.0
1766991600000,1.2,1.2008,1.191,1.1946,11825.0
1766992500000,1.1946,1.1967,1.1915,1.1937,2364.0
1766993400000,1.1937,1.1948,1.19,1.1921,10980.0
1766994300000,1.1921,1.1959,1.1921,1.1954,721.0
1766995200000,1.1954,1.1979,1.1938,1.1977,3409.0
1766996100000,1.1977,1.1991,1.1954,1.1973,1297.0
1766997000000,1.1973,1.1991,1.1946,1.1954,1085.0
1766997900000,1.1954,1.1971,1.1934,1.1939,1316.0
1766998800000,1.1939,1.1943,1.1905,1.1928,979.0
1766999700000,1.1928,1.1959,1.1927,1.1936,2743.0
1767000600000,1.1936,1.1936,1.1813,1.1828,6784.0
1767001500000,1.1828,1.1828,1.1774,1.1822,2105.0
1767002400000,1.1822,1.1862,1.1794,1.1847,3061.0
1767003300000,1.1847,1.1857,1.1823,1.1853,2147.0
1767004200000,1.1853,1.1854,1.1805,1.1822,3547.0
1767005100000,1.1822,1.1837,1.179,1.1811,1413.0
1767006000000,1.1811,1.1812,1.1751,1.1792,5008.0
1767006900000,1.1792,1.1802,1.178,1.1797,2868.0
1767007800000,1.1797,1.1845,1.1775,1.1823,23806.0
1767008700000,1.1823,1.1823,1.1801,1.1813,1178.0
1767009600000,1.1813,1.1813,1.1657,1.1687,8630.0
1767010500000,1.1687,1.1749,1.1622,1.1711,9020.0
1767011400000,1.1711,1.1733,1.1707,1.1717,1728.0
1767012300000,1.1717,1.174,1.1702,1.1719,6350.0
1767013200000,1.1719,1.1744,1.1702,1.1709,7082.0
1767014100000,1.1709,1.1717,1.1687,1.1687,1913.0
1767015000000,1.1687,1.1704,1.1662,1.1683,11151.0
1767015900000,1.1683,1.169,1.1658,1.1673,6431.0
1767016800000,1.1673,1.168,1.1657,1.1668,1047.0
1767017700000,1.1668,1.1699,1.1656,1.1699,3240.0
1767018600000,1.1699,1.1784,1.1686,1.1746,28719.0
1767019500000,1.1746,1.1758,1.1652,1.1652,3307.0
1767020400000,1.1652,1.1738,1.1652,1.1738,2330.0
1767021300000,1.1738,1.1758,1.1707,1.175,947.0
1767022200000,1.175,1.1771,1.1739,1.1754,2264.0
1767023100000,1.1754,1.1762,1.172,1.1731,21038.0
1767024000000,1.1731,1.1743,1.1717,1.1743,3284.0
1767024900000,1.1743,1.1743,1.1658,1.1667,5439.0
1767025800000,1.1667,1.1676,1.1654,1.166,451.0
1767026700000,1.166,1.171,1.166,1.1696,5070.0
1767027600000,1.1696,1.1721,1.1688,1.1716,1091.0
1767028500000,1.1716,1.172,1.1682,1.1682,581.0
1767029400000,1.1682,1.1706,1.1681,1.1704,559.0
1767030300000,1.1704,1.1764,1.1704,1.1764,7950.0
1767031200000,1.1764,1.1764,1.1721,1.1738,4318.0
1767032100000,1.1738,1.1756,1.1695,1.1695,640.0
1767033000000,1.1695,1.1719,1.1648,1.1655,666.0
1767033900000,1.1655,1.1681,1.1594,1.162,6706.0
1767034800000,1.162,1.172,1.1613,1.1676,10516.0
1767035700000,1.1676,1.1736,1.1676,1.1721,18448.0
1767036600000,1.1721,1.1736,1.1696,1.1703,935.0
1767037500000,1.1703,1.1712,1.1701,1.171,540.0
1767038400000,1.171,1.1714,1.1656,1.169,14186.0
1767039300000,1.169,1.1717,1.1683,1.1693,877.0
1767040200000,1.1693,1.1707,1.1612,1.1625,18431.0
1767041100000,1.1625,1.1644,1.1617,1.1644,1047.0
1767042000000,1.1644,1.168,1.1633,1.168,1198.0
1767042900000,1.168,1.168,1.1666,1.1672,475.0
1767043800000,1.1672,1.1699,1.1671,1.1699,243.0
1767044700000,1.1699,1.1699,1.1685,1.1697,260.0
1767045600000,1.1697,1.1698,1.1649,1.1654,999.0
1767046500000,1.1654,1.1683,1.1654,1.1683,522.0
1767047400000,1.1683,1.1689,1.1659,1.1659,722.0
1767048300000,1.1659,1.1668,1.1659,1.1668,127.0
1767049200000,1.1668,1.1693,1.1668,1.1692,985.0
1767050100000,1.1692,1.1692,1.1646,1.1648,846.0
1767051000000,1.1648,1.1657,1.1648,1.1649,286.0
1767051900000,1.1649,1.1657,1.1639,1.1649,2312.0
1767052800000,1.1649,1.1673,1.1633,1.1662,1854.0
1767053700000,1.1662,1.1667,1.1654,1.1654,2051.0
1767054600000,1.1654,1.166,1.1624,1.1656,1571.0
1767055500000,1.1656,1.1676,1.1649,1.1676,339.0
1767056400000,1.1676,1.1693,1.1664,1.1684,391.0
1767057300000,1.1684,1.1699,1.1669,1.1689,223.0
1767058200000,1.1689,1.1691,1.1672,1.1686,1562.0
1767059100000,1.1686,1.169,1.1666,1.1668,1527.0
1767060000000,1.1668,1.1671,1.1627,1.1639,1902.0
1767060900000,1.1639,1.1666,1.1617,1.1617,1332.0
1767061800000,1.1617,1.1663,1.1612,1.1663,800.0
1767062700000,1.1663,1.168,1.1648,1.1648,1660.0
1767063600000,1.1648,1.166,1.1618,1.1618,469.0
1767064500000,1.1618,1.1651,1.1596,1.1644,1199.0
1767065400000,1.1644,1.1646,1.162,1.1624,718.0
1767066300000,1.1624,1.1679,1.1624,1.1666,4451.0
1767067200000,1.1666,1.1692,1.1666,1.1673,6066.0
1767068100000,1.1673,1.1722,1.1673,1.1714,904.0
1767069000000,1.1714,1.1754,1.1709,1.1732,7235.0
1767069900000,1.1732,1.1758,1.169,1.1692,8912.0
1767070800000,1.1692,1.1695,1.167,1.1682,8719.0
1767071700000,1.1682,1.1685,1.1614,1.1637,967.0
1767072600000,1.1637,1.1639,1.1596,1.1605,3960.0
1767073500000,1.1605,1.1641,1.1605,1.1633,506.0
1767074400000,1.1633,1.1652,1.1625,1.1633,840.0
1767075300000,1.1633,1.1647,1.1629,1.1629,773.0
1767076200000,1.1629,1.1654,1.1624,1.1636,859.0
1767077100000,1.1636,1.1643,1.1624,1.1624,662.0
1767078000000,1.1624,1.1632,1.1605,1.1624,1295.0
1767078900000,1.1624,1.1644,1.1595,1.1603,2241.0
1767079800000,1.1603,1.162,1.1594,1.162,2876.0
1767080700000,1.162,1.162,1.1599,1.1611,820.0
1767081600000,1.1611,1.1736,1.161,1.1728,3808.0
1767082500000,1.1728,1.1747,1.1692,1.1695,2061.0
1767083400000,1.1695,1.1704,1.1683,1.1689,583.0
1767084300000,1.1689,1.1689,1.1655,1.1655,488.0
1767085200000,1.1655,1.167,1.1642,1.1647,2303.0
1767086100000,1.1647,1.1649,1.1615,1.1624,2131.0
1767087000000,1.1624,1.1647,1.1624,1.163,2325.0
1767087900000,1.163,1.1676,1.163,1.166,12269.0
1767088800000,1.166,1.1677,1.1643,1.1646,2050.0
1767089700000,1.1646,1.1662,1.1626,1.1648,17106.0
1767090600000,1.1648,1.1648,1.162,1.1646,805.0
1767091500000,1.1646,1.1646,1.1617,1.162,1534.0
1767092400000,1.162,1.1639,1.1612,1.163,8736.0
1767093300000,1.163,1.163,1.1612,1.1612,260.0
1767094200000,1.1612,1.1635,1.161,1.1614,1173.0
1767095100000,1.1614,1.1651,1.1606,1.1631,18903.0
1767096000000,1.1631,1.164,1.1622,1.1633,2618.0
1767096900000,1.1633,1.1633,1.1621,1.163,432.0
1767097800000,1.163,1.163,1.1602,1.1608,1597.0
1767098700000,1.1608,1.1613,1.1601,1.1602,365.0
1767099600000,1.1602,1.1611,1.1585,1.1598,3151.0
1767100500000,1.1598,1.1625,1.1595,1.1604,2949.0
1767101400000,1.1604,1.1611,1.1587,1.1609,5777.0
1767102300000,1.1609,1.1614,1.16,1.1613,933.0
1767103200000,1.1613,1.1613,1.1496,1.1522,36486.0
1767104100000,1.1522,1.1574,1.152,1.1524,3853.0
1767105000000,1.1524,1.1556,1.1492,1.1531,5516.0
1767105900000,1.1531,1.165,1.1529,1.1622,19173.0
1767106800000,1.1622,1.1635,1.1513,1.1513,4116.0
1767107700000,1.1513,1.1526,1.1494,1.151,4382.0
1767108600000,1.151,1.1528,1.1507,1.1525,7969.0
1767109500000,1.1525,1.1559,1.1523,1.1544,3752.0
1767110400000,1.1544,1.1559,1.1495,1.1496,5058.0
1767111300000,1.1496,1.1542,1.1496,1.1519,5602.0
1767112200000,1.1519,1.1519,1.1472,1.1474,12771.0
1767113100000,1.1474,1.1517,1.1468,1.1517,6507.0
1767114000000,1.1517,1.1528,1.1506,1.1514,2806.0
1767114900000,1.1514,1.1514,1.1488,1.1506,4615.0
1767115800000,1.1506,1.1509,1.1454,1.1454,3471.0
1767116700000,1.1454,1.1462,1.1421,1.1459,7891.0
1767117600000,1.1459,1.1459,1.1429,1.1449,2691.0
1767118500000,1.1449,1.1473,1.1446,1.1473,2932.0
1767119400000,1.1473,1.148,1.1462,1.1478,1623.0
1767120300000,1.1478,1.1478,1.1443,1.1469,2331.0
